Id;intentos_tot;intentos_incom;nota_media;nota_media_;n_diez
2902;13;9;5.0;5.0;0
2990;2;2;0.0;0.0;0
2991;12;6;3.67;3.67;0
2994;14;7;3.93;5.5;0
2995;10;4;7.67;7.67;0
2996;7;3;6.12;6.12;0
2997;3;2;8.0;8.0;0
3008;15;8;7.29;7.29;0
3009;21;10;7.09;7.8;0
3015;20;16;6.5;6.5;0
3021;2;0;6.75;6.75;0
3175;57;44;7.69;7.69;0
3176;17;9;6.19;6.19;0
3179;22;2;6.2;6.2;0
3182;14;8;6.33;6.33;0
3183;10;7;6.0;6.0;0
3184;20;2;6.64;6.64;0
3185;12;6;5.83;5.83;0
3186;11;1;5.75;6.39;0
3187;9;1;5.38;6.14;0
3188;17;4;6.27;6.27;0
3189;14;8;6.08;6.08;0
3190;19;13;5.75;5.75;0
3191;9;3;4.75;4.75;0
3192;15;10;7.3;7.3;0
3193;11;6;4.7;4.7;0
3194;5;0;4.4;4.4;0
3195;9;5;7.5;7.5;0
3196;14;4;6.6;6.6;0
3197;14;10;7.62;7.62;0
3198;9;5;7.62;7.62;0
3199;8;2;6.17;6.17;0
3200;24;10;7.21;7.21;0
3201;8;3;7.3;7.3;0
3202;12;8;6.5;6.5;0
3203;4;2;6.75;6.75;0
3204;12;2;7.25;7.25;0
3206;10;6;6.0;6.0;0
3207;11;9;5.0;5.0;0
3209;11;5;5.25;5.25;0
3210;19;12;4.86;4.86;0
3211;9;2;6.07;6.07;0
3212;10;2;6.69;6.69;0
3214;2;2;0.0;0.0;0
3215;7;2;5.4;5.4;0
3216;11;7;5.75;5.75;0
3217;14;9;3.8;3.8;0
3218;11;7;7.12;7.12;0
3219;13;5;3.81;3.81;0
3220;7;3;6.12;6.12;0
3221;13;10;3.83;3.83;0
3223;11;4;5.43;5.43;0
3224;8;2;5.42;5.42;0
3225;7;0;5.93;5.93;0
3226;4;1;5.0;5.0;0
3228;9;4;5.9;5.9;0
3229;14;4;7.1;7.1;0
3230;6;0;5.25;5.25;0
3231;12;5;6.0;6.0;0
3232;6;0;5.67;5.67;0
3233;5;0;4.9;4.9;0
3234;3;2;1.5;1.5;0
3235;5;0;5.4;5.4;0
3236;7;0;5.86;5.86;0
3238;7;1;5.67;5.67;0
3239;10;4;6.0;6.0;0
3240;3;1;3.5;3.5;0
3241;6;0;6.08;6.08;0
3242;7;2;4.9;4.9;0
3243;6;0;5.83;5.83;0
3245;6;1;4.9;4.9;0
3246;8;3;5.6;5.6;0
3247;12;3;5.06;5.69;0
3248;7;4;4.5;4.5;0
3249;12;6;4.42;4.42;0
3250;12;6;3.67;3.67;0
3251;4;0;5.75;5.75;0
3252;11;6;3.8;3.8;0
3253;15;8;6.43;6.43;0
3254;7;2;4.4;4.4;0
3255;7;1;3.92;3.92;0
3256;10;4;4.75;4.75;0
3257;9;3;5.17;5.17;0
3259;7;1;5.5;5.5;0
3260;5;0;5.1;5.1;0
3261;6;1;6.6;6.6;0
3262;17;5;3.38;4.5;0
3279;8;4;5.88;5.88;0
3280;7;2;4.7;4.7;0
3281;1;0;5.0;5.0;0
3396;6;2;6.62;6.62;0
