Id;Score;Date
3280;No terminado;2020-03-27 14:54:15+01
3190;No terminado;2020-03-27 14:42:27+01
3280;No terminado;2020-03-27 14:39:03+01
3256;5.5;2020-03-26 22:29:58+01
3261;7.5;2020-03-26 17:28:28+01
3211;7.5;2020-03-26 16:15:44+01
3197;7.5;2020-03-26 12:23:17+01
3396;7.5;2020-03-26 11:28:11+01
3396;No terminado;2020-03-26 11:28:06+01
3211;6;2020-03-26 10:34:58+01
3183;6;2020-03-26 08:51:04+01
3186;7.5;2020-03-26 02:31:00+01
3190;6.5;2020-03-25 22:15:18+01
3230;6;2020-03-25 20:33:41+01
3232;5;2020-03-25 20:24:18+01
3243;8;2020-03-25 19:14:52+01
3217;No terminado;2020-03-25 19:05:51+01
3215;7;2020-03-25 18:53:36+01
3216;No terminado;2020-03-25 18:29:43+01
3216;No terminado;2020-03-25 18:20:48+01
3216;No terminado;2020-03-25 18:20:44+01
3216;No terminado;2020-03-25 18:18:30+01
3209;5.5;2020-03-25 18:17:43+01
3216;No terminado;2020-03-25 18:17:06+01
3216;No terminado;2020-03-25 18:17:02+01
3202;No terminado;2020-03-25 18:15:43+01
3202;No terminado;2020-03-25 18:13:33+01
3280;5.5;2020-03-25 17:03:37+01
3238;6;2020-03-25 16:19:07+01
3260;6;2020-03-25 15:48:35+01
3183;No terminado;2020-03-25 15:27:01+01
3221;No terminado;2020-03-25 12:51:48+01
3259;6;2020-03-25 12:41:08+01
3204;8;2020-03-25 11:29:17+01
3212;8;2020-03-25 11:26:55+01
3192;8;2020-03-25 11:26:55+01
3206;6.5;2020-03-25 11:23:03+01
3200;8.5;2020-03-25 09:26:31+01
3198;7.5;2020-03-24 22:47:27+01
3184;8;2020-03-24 17:30:40+01
3225;7;2020-03-24 17:15:38+01
3189;No terminado;2020-03-24 17:09:56+01
3189;No terminado;2020-03-24 17:09:52+01
3246;6.5;2020-03-24 17:09:15+01
3228;7;2020-03-24 17:04:58+01
3279;5.5;2020-03-24 17:04:43+01
3228;No terminado;2020-03-24 16:57:31+01
3223;7;2020-03-24 16:53:54+01
3228;No terminado;2020-03-24 16:52:05+01
3228;No terminado;2020-03-24 16:49:52+01
3241;7;2020-03-24 15:54:59+01
3190;No terminado;2020-03-24 14:39:20+01
3190;No terminado;2020-03-24 14:39:09+01
3190;No terminado;2020-03-24 14:37:56+01
3239;6.5;2020-03-24 14:25:12+01
3239;No terminado;2020-03-24 14:16:17+01
3248;No terminado;2020-03-24 13:55:45+01
3190;6;2020-03-24 12:56:33+01
3175;9;2020-03-23 18:58:41+01
3196;7.5;2020-03-23 18:56:37+01
3175;No terminado;2020-03-23 18:50:22+01
3175;No terminado;2020-03-23 18:48:26+01
3175;No terminado;2020-03-23 18:44:30+01
3175;No terminado;2020-03-23 18:39:32+01
3175;No terminado;2020-03-23 18:37:31+01
3236;7.5;2020-03-23 18:24:37+01
3188;8;2020-03-23 18:04:39+01
3259;No terminado;2020-03-23 17:49:13+01
3229;8;2020-03-23 17:11:32+01
3229;No terminado;2020-03-23 16:52:15+01
3179;8.5;2020-03-23 15:42:40+01
3179;No terminado;2020-03-23 13:24:25+01
3200;8.5;2020-03-23 12:58:38+01
3235;5;2020-03-22 22:13:16+01
3224;5;2020-03-22 20:54:41+01
3257;5.5;2020-03-22 18:41:19+01
3257;No terminado;2020-03-22 18:35:29+01
3242;5;2020-03-22 18:30:02+01
3191;5.5;2020-03-22 18:16:02+01
3257;No terminado;2020-03-22 18:15:08+01
3250;4.5;2020-03-22 17:32:39+01
3280;5;2020-03-22 17:06:33+01
3183;No terminado;2020-03-22 16:15:20+01
3199;6.5;2020-03-22 16:08:57+01
3249;5;2020-03-22 15:18:05+01
