Id;intentos_tot;intentos_incom;nota_media;nota_media_;n_diez;cluster;0
2282;10;4;7.83;7.83;0;1;2018
2283;27;3;8.75;8.75;7;0;2018
2284;5;3;4.25;4.25;0;2;2018
2286;13;2;6.64;6.64;0;1;2018
2287;36;23;7.42;7.42;1;0;2018
2288;19;1;8.44;8.44;8;0;2018
2289;8;2;3.5;3.5;0;2;2018
2290;14;5;6.83;6.83;0;1;2018
2291;41;24;6.74;6.74;1;0;2018
2292;10;2;7.19;7.19;0;1;2018
2293;12;5;6.5;6.5;0;1;2018
2294;54;37;5.41;5.41;0;0;2018
2295;31;15;8.41;8.41;6;0;2018
2296;25;16;7.06;7.06;0;1;2018
2298;24;11;5.15;5.15;0;1;2018
2299;17;4;6.0;6.0;0;1;2018
2300;8;1;4.07;4.07;0;2;2018
2301;7;1;5.33;5.33;0;1;2018
2303;1;0;3.5;3.5;0;2;2018
2305;14;6;6.94;6.94;0;1;2018
2306;18;7;7.82;7.82;1;1;2018
2307;34;18;7.16;7.16;0;0;2018
2308;12;6;6.92;6.92;0;1;2018
2309;3;0;5.83;5.83;0;1;2018
2310;11;7;6.5;6.5;0;1;2018
2311;4;0;7.88;7.88;0;1;2018
2312;23;2;7.64;7.64;2;1;2018
2500;10;2;7.69;7.69;0;1;2018
2501;7;6;6.5;6.5;0;1;2018
2502;7;3;4.75;6.33;0;1;2018
2526;5;2;7.0;7.0;0;1;2018
2531;2;0;7.0;7.0;0;1;2018
2709;17;9;8.62;8.62;2;0;2019
2719;11;10;5.0;5.0;0;1;2019
2720;2;2;0.0;0.0;0;2;2019
2721;13;9;7.38;7.38;0;1;2019
2722;21;9;6.46;6.46;0;1;2019
2723;25;16;6.0;6.0;0;1;2019
2724;12;7;6.1;6.1;0;1;2019
2725;2;2;0.0;0.0;0;2;2019
2727;7;4;4.5;4.5;0;1;2019
2729;13;6;8.29;8.29;0;1;2019
2730;44;28;6.09;6.5;1;0;2019
2731;7;3;4.88;4.88;0;1;2019
2732;7;6;1.5;1.5;0;2;2019
2733;7;2;6.4;6.4;0;1;2019
2734;8;3;5.4;5.4;0;1;2019
2735;10;6;4.5;4.5;0;1;2019
2736;25;23;6.75;6.75;0;0;2019
2737;5;4;5.0;5.0;0;1;2019
2738;8;6;7.0;7.0;0;1;2019
2740;4;3;3.0;3.0;0;2;2019
2741;7;5;6.5;6.5;0;1;2019
2742;3;3;0.0;0.0;0;2;2019
2743;39;31;7.25;7.25;0;0;2019
2744;14;4;6.15;6.15;0;1;2019
2745;15;10;4.1;4.1;0;2;2019
2746;5;5;0.0;0.0;0;2;2019
2747;2;1;3.0;3.0;0;2;2019
2751;31;1;5.27;5.45;0;1;2019
2752;12;8;6.62;6.62;0;1;2019
2753;9;6;6.83;6.83;0;1;2019
2754;3;3;0.0;0.0;0;2;2019
2755;6;2;7.0;7.0;0;1;2019
2757;22;9;6.31;6.31;0;1;2019
2758;4;4;0.0;0.0;0;2;2019
2759;11;3;5.44;5.44;0;1;2019
2770;13;5;6.81;6.81;0;1;2019
2772;5;5;0.0;0.0;0;2;2019
2773;10;5;4.8;6.0;0;1;2019
2820;10;8;5.75;5.75;0;1;2019
2821;12;6;5.42;5.42;0;1;2019
2850;10;7;7.33;7.33;0;1;2019
2851;54;30;5.9;6.43;4;0;2019
2852;10;6;3.38;4.5;0;2;2019
2853;33;20;8.54;8.54;4;0;2019
2854;70;62;5.69;5.69;0;0;2019
2855;3;2;2.0;2.0;0;2;2019
2856;27;14;7.42;7.42;0;0;2019
2857;15;10;5.9;5.9;0;1;2019
2859;37;19;9.06;9.06;8;0;2019
2860;25;12;6.69;6.69;0;1;2019
2861;17;10;3.57;3.57;0;2;2019
2862;25;6;7.11;7.11;0;1;2019
2863;13;5;6.0;6.0;0;1;2019
2864;15;14;5.0;5.0;0;1;2019
